"SharkID","Species","ABF","Age","Sex","TL","FL","PCL"
"BT1 7-29-14","Blacktip",37.4747235453777,"YoY","M",66.9,52.7,47.3
"BT2 3-29-16","Blacktip",29.9591206153428,"YoY","F",67.9,52.7,47.8
"BT1 5-23-15","Blacktip",62.7990097069316,"YoY","M",82.9,66.6,49.2
"BT1 5-17-14","Blacktip",36.4228485246596,"Juv","M",83.3,67.4,61.2
"BT2 9-13-14","Blacktip",71.2536507010085,"Juv","F",95.8,75.3,67.2
"BT1 5-23-14","Blacktip",92.2425754610982,"Juv","F",101.6,83.7,75.4
"BT1 6-19-15","Blacktip",63.1252475318406,"Juv","M",102.4,83.9,77.2
"BT3 9-13-14","Blacktip",106.127753688175,"Juv","F",107.6,85.9,77.3
"BT2 5-23-14","Blacktip",61.5264119795413,"Juv","F",110.9,89.9,80.8
"BT1 8-12-15","Blacktip",80.3470117638406,"Sub-adult","F",111.7,89.2,82
"BT1 8-23-14","Blacktip",124.812570860661,"Sub-adult","F",114.2,93.6,84.8
"BT2 8-8-14","Blacktip",99.3090450599542,"Sub-adult","M",116.1,89.2,78.6
"BT1 8-14-14","Blacktip",117.70708058363,"Sub-adult","M",117.2,94.8,84.3
"BT4 6-17-16","Blacktip",144.480248251469,"Sub-adult","F",122.3,95.2,87.4
"BT1 10-3-15","Blacktip",169.088872291925,"Sub-adult","M",126.1,100.7,91.2
"BT1 6-7-14","Blacktip",211.178996117371,"Sub-adult","M",128.1,103.3,98.6
"BT1 8-12-14","Blacktip",209.189153764889,"Sub-adult","M",129.1,106.9,96.9
"BT1 7-26-14","Blacktip",135.192946920322,"Sub-adult","M",132.6,106.9,96.8
"BT8 6-17-16","Blacktip",185.484057580213,"Sub-adult","M",132.9,107.4,97.7
"BT3 8-23-14","Blacktip",285.691050292172,"Sub-adult","F",134.2,109.1,99
"BT1 6-24-16","Blacktip",180.041336732181,"Sub-adult","M",137.5,105.9,97.3
"BT5 8-23-14","Blacktip",292.73287170902,"Adult","F",145.2,124.9,114.1
"BT1 8-14-15","Blacktip",271.853824303102,"Adult","F",152.5,115.2,106.3
"BT1 7-30-16","Blacktip",447.539328417969,"Adult","F",155.4,119.2,107.6
"BT1 7-30-14","Blacktip",253.264363627784,"Adult","F",158.2,126.5,117.5
"BT2 8-12-14","Blacktip",252.228390750078,"Adult","F",159.2,124.2,112.9
"BT1 7-11-15","Blacktip",399.930570811173,"Adult","F",159.8,124.9,111.7
"BT1 7-23-16","Blacktip",350.856765719485,"Adult","M",160.7,130.4,119.5
"BT1 8-5-16","Blacktip",284.36277549734,"Adult","M",167.9,134.8,122.5
"BT1 7-19-16","Blacktip",281.274188323186,"Adult","F",171.1,135.6,122.3
"BH1 4-27-15","Bonnethead",9.93766442131023,"YoY","F",51.7,40.8,36.6
"BH4 10-3-15","Bonnethead",9.13002240226029,"YoY","F",66.4,51.7,47.8
"BH1 4-26-14","Bonnethead",19.4510984103402,"YoY","F",67.2,54.7,52.2
"BH1 6-20-15","Bonnethead",37.4898781400901,"YoY","F",67.8,53.2,48.2
"BH2 10-17-15","Bonnethead",8.09749778125537,"YoY","M",68.6,49.1,45
"BH1 5-30-14","Bonnethead",12.14237828444,"YoY","F",71.4,57.3,51.8
"BH1 7-12-14","Bonnethead",22.5769170473442,"YoY","M",73,57.5,53.5
"BH2 7-12-14","Bonnethead",16.9390975919416,"Juv","M",73.5,57.4,52.5
"BH2 5-30-14","Bonnethead",14.153005100929,"Juv","F",73.8,58.8,53.9
"BH1 4-11-15","Bonnethead",12.6665434303972,"Juv","M",76.1,61.8,55.6
"BH1 4-25-14","Bonnethead",27.9304616268281,"Juv","F",77.4,62.6,56.7
"BH6 8-1-14","Bonnethead",12.9239170737463,"Juv","F",82.3,63.8,50.7
"BH1 8-8-14","Bonnethead",11.5849511118553,"Juv","F",84.3,65.6,60.6
"BH5 8-9-14","Bonnethead",20.361589709792,"Adult","M",93.1,75.1,69.4
"BH2 7-18-15","Bonnethead",11.1958571192429,"Adult","M",94.5,72.6,68.2
"BH1 9-25-15","Bonnethead",19.64526022805,"Adult","M",95,77.3,71.2
"BH2 8-9-14","Bonnethead",24.2441752683858,"Adult","F",96.6,75.6,66.9
"BH4 7-2-16","Bonnethead",29.9073103754568,"Adult","F",97.5,78.4,70.5
"BH3 8-1-14","Bonnethead",34.3701378185514,"Adult","F",99,80.9,73.9
