SharkID,Age,Sex,TL,FL,PCL
BH1 4-27-15,YoY,F,51.7,40.8,36.6
BH4 10-3-15,YoY,F,66.4,51.7,47.8
BH1 4-26-14,YoY,F,67.2,54.7,52.2
BH1 6-20-15,YoY,F,67.8,53.2,48.2
BH2 10-17-15,YoY,M,68.6,49.1,45
BH1 5-30-14,YoY,F,71.4,57.3,51.8
BH1 7-12-14,YoY,M,73,57.5,53.5
BH2 7-12-14,Juv,M,73.5,57.4,52.5
BH2 5-30-14,Juv,F,73.8,58.8,53.9
BH1 4-11-15,Juv,M,76.1,61.8,55.6
BH1 4-25-14,Juv,F,77.4,62.6,56.7
BH6 8-1-14,Juv,F,82.3,63.8,50.7
BH1 8-8-14,Juv,F,84.3,65.6,60.6
BH5 8-9-14,Adult,M,93.1,75.1,69.4
BH2 7-18-15,Adult,M,94.5,72.6,68.2
BH1 9-25-15,Adult,M,95,77.3,71.2
BH2 8-9-14,Adult,F,96.6,75.6,66.9
BH4 7-2-16,Adult,F,97.5,78.4,70.5
BH3 8-1-14,Adult,F,99,80.9,73.9
BH2 8-1-14,Adult,F,99.5,80,74
BH2 8-16-14,Adult,M,99.6,77.5,73
BH2 7-25-14,Adult,F,100.9,80.6,73.3
BH1 5-2-14,Adult,F,103.2,81.4,75.3
BH5 9-6-14,Adult,F,106.5,85,80.4
BH7 9-6-14,Adult,F,107.2,84.2,77.3
BH2 10-10-15,Adult,F,110.6,88.6,81.4
BH1 8-1-14,Adult,F,113.6,93.4,86.8
BH1 9-6-14,Adult,F,125.4,99.8,92.4
