SharkID,Age,Sex,TL,FL,PCL,G1,G2,G3,G4,G5,Condition,ABF,PBF,AMA,PMA,ACSA,Mass,Jadil,ABPdol,PBPdol,MaxGape,GapeAngle,PBPdol/ABPdol,,*Ratio should be close to 0.25
BT1 7-29-14,YoY,M,66.9,52.7,47.3,21.2,21.9,21.7,19.4,16.4,2.13,37.47,131.06,0.25,0.83,3.52,4.2,1.3,5.12,1.57,5.242,88.929,0.306640625,,*PBP not standardized
BT2 3-29-16,YoY,F,67.9,52.7,47.8,27.4,29.3,27.3,22.1,19.2,2.62,29.96,136.48,0.28,1.04,3.174,7.2,1.54,5.61,1.48,4.839,74.595,0.263814617,,
BT1 5-23-15,YoY,M,82.9,66.6,49.2,28.2,28.1,21.5,21.3,17.7,2.37,62.8,241.86,0.34,1.12,4.509,8.5,2.25,6.6,2.01,5.511,72.918,0.304545455,,
BT1 5-17-14,Juv,M,83.3,67.4,61.2,31.2,31,28.3,25.4,20.5,2.23,36.42,171.66,0.37,1.6,5.752,10.6,2.5,6.8,1.56,7.83,93.562,0.229411765,,Recheck TL
BT2 9-13-14,Juv,F,95.8,75.3,67.2,36.4,40.3,34.4,31.9,25.3,2.5,71.25,307.38,0.28,1.1,6.541,15.9,2.23,7.85,2.02,6.318,72.418,0.257324841,,
BT1 5-23-14,Juv,F,101.6,83.7,75.4,39.4,42.3,36.8,22,16.4,2.08,92.24,400.15,0.33,1.29,6.619,19.6,2.71,8.17,2.1,7.122,73.159,0.257037944,,
BT1 6-19-15,Juv,M,102.4,83.9,77.2,40.9,44.2,39.9,36.3,29.7,2.47,63.13,381.01,0.23,1.07,8.98,23.8,1.87,8.26,1.75,7.851,70.739,0.211864407,,
BT3 9-13-14,Juv,F,107.6,85.9,77.3,39.4,46.6,41.8,36.8,30.1,2.52,106.13,394.14,0.31,1.09,7.782,21.6,2.47,8.03,2.26,8.996,90.197,0.281444583,,
BT2 5-23-14,Juv,F,110.9,89.9,80.8,43.2,46.4,40.8,25.1,18.3,2.15,61.53,276.93,0.2,0.74,8.334,25.9,1.7,8.49,2.3,8.3,81.068,0.270906949,,
BT1 8-12-15,Sub-adult,F,111.7,89.2,82,43.6,46.9,43,37.5,27.7,2.42,80.35,378.09,0.25,1,9.078,26.8,2.17,8.72,2.17,7.573,79.488,0.248853211,,
