SharkID,Age,Sex,TL,FL,PCL
BT1 7-29-14,YoY,M,66.9,52.7,47.3
BT2 3-29-16,YoY,F,67.9,52.7,47.8
BT1 5-23-15,YoY,M,82.9,66.6,49.2
BT1 5-17-14,Juv,M,83.3,67.4,61.2
BT2 9-13-14,Juv,F,95.8,75.3,67.2
BT1 5-23-14,Juv,F,101.6,83.7,75.4
BT1 6-19-15,Juv,M,102.4,83.9,77.2
BT3 9-13-14,Juv,F,107.6,85.9,77.3
BT2 5-23-14,Juv,F,110.9,89.9,80.8
BT1 8-12-15,Sub-adult,F,111.7,89.2,82
BT1 8-23-14,Sub-adult,F,114.2,93.6,84.8
BT2 8-8-14,Sub-adult,M,116.1,89.2,78.6
BT1 8-14-14,Sub-adult,M,117.2,94.8,84.3
BT4 6-17-16,Sub-adult,F,122.3,95.2,87.4
BT1 10-3-15,Sub-adult,M,126.1,100.7,91.2
BT1 6-7-14,Sub-adult,M,128.1,103.3,98.6
BT1 8-12-14,Sub-adult,M,129.1,106.9,96.9
BT1 7-26-14,Sub-adult,M,132.6,106.9,96.8
BT8 6-17-16,Sub-adult,M,132.9,107.4,97.7
BT3 8-23-14,Sub-adult,F,134.2,109.1,99
BT1 6-24-16,Sub-adult,M,137.5,105.9,97.3
BT5 8-23-14,Adult,F,145.2,124.9,114.1
BT1 8-14-15,Adult,F,152.5,115.2,106.3
BT1 7-30-16,Adult,F,155.4,119.2,107.6
BT1 7-30-14,Adult,F,158.2,126.5,117.5
BT2 8-12-14,Adult,F,159.2,124.2,112.9
BT1 7-11-15,Adult,F,159.8,124.9,111.7
BT1 7-23-16,Adult,M,160.7,130.4,119.5
BT1 8-5-16,Adult,M,167.9,134.8,122.5
BT1 7-19-16,Adult,F,171.1,135.6,122.3
