SharkID,Age,Sex,TL,FL,PCL,G1,G2,G3,G4,G5,Condition,ABF,PBF,AMA,PMA,ACSA,Mass,Jadil,ABPdol,PBPdol,MaxGape,GapeAngle,,
Cleu_Ara10,YoY,M,74.4,59.5,53.9,33.2,33.5,30.9,26.1,20.8,2.68,102.01,462.32,0.36,1.49,6.396,10.5,2.13,5.89,1.43,5.57,84.195,,
Cleu_Ara15,YoY,M,77,61.5,55.4,35.3,39.4,35.6,29.6,23.2,2.94,109.48,436.29,0.44,1.63,5.274,14.5,2.75,6.24,1.69,6.337,87.195,,
Cleu_Sab08,YoY,F,79.1,62.5,56.6,30.2,33.4,29.3,24.4,19,2.41,97.04,396.98,0.35,1.29,6.297,12.7,2.32,6.54,1.8,5.539,74.812,,
Cleu_Sab07,YoY,M,83.6,66.4,60.1,35.3,40.8,35.9,31.3,24.2,2.79,70.22,467.32,0.29,1.42,7.776,18.3,2.1,7.12,1.48,5.39,67.169,,
Cleu_Dic11,YoY,F,84.7,65.9,58.7,31.3,31.9,30.7,23.7,18.4,2.32,80.37,-100.6,0.4,0.8,7.85,15.7,2.3,5.76,2.19,8.518,94.552,,
Cleu_Ara05,YoY,M,86,68.4,62,37.1,39.3,35.3,29.1,22,2.63,99.62,473.9,0.25,1.15,8.536,17.6,1.86,7.33,1.61,8.851,82.743,,*PBP not standardized
Cleu_Sab11,Juv,M,90.6,72.7,65.5,40.7,38.8,36.4,30,22.6,2.57,78.42,356.53,0.24,1.06,7.854,20.4,1.77,7.48,1.67,6.392,72.856,,
Cleu_Sab06,Juv,M,92.7,73.8,67.2,37.4,40.2,36.4,30.3,23.3,2.49,102.48,569.86,0.32,1.53,8.424,20.1,2.29,7.21,1.49,8.201,89.196,,
Cleu_Mat10,Juv,M,92.8,73.2,65.5,41.6,45.7,42,33.8,25.5,2.88,115.43,484.41,0.3,1.13,8.712,24.8,2.16,7.15,1.91,6.478,86.224,,
Cleu_Dic19,Juv,M,98.2,80.7,72.3,39.8,39.6,32.7,28.6,23,2.26,121.3,461.18,0.36,1.27,7.281,21.7,2.87,7.97,2.26,6.432,82.122,,
Cleu_Ara14,Juv,F,99.1,77,70.3,41.5,43.4,39.9,34.8,26.6,2.65,79.38,429.9,0.24,0.81,13.107,33.8,1.84,7.76,2.28,,,,Recheck TL; Remeasure CSAs/DigPts if necessary
Cleu_Ara03,Juv,M,102.5,81.3,74,40.4,42.7,36.9,30.3,22.9,2.34,199.45,897.38,0.3,1.26,15.109,37.1,2.46,8.14,1.95,7.473,74.984,,
Cleu_Ara16,Juv,M,108.7,86.3,78.6,45.3,47.6,42.4,37.5,29.3,2.57,235.6,854.76,0.36,1.25,14.148,43.3,3.17,8.81,2.54,9.877,90.085,,
Cleu_Ara01,Juv,M,115.8,90.4,81.1,48.2,48.4,43.8,37.2,27.6,2.53,234.42,921.32,0.3,1.11,18.895,55.5,2.93,9.68,2.64,8.312,73.834,,
Cleu_Dic13,Juv,M,124.3,94.1,84.6,55.3,61.9,56.8,48.7,38.4,3.09,272.76,1134.61,0.38,1.54,15.449,63,3.91,10.17,2.54,11.02,80.741,,
Cleu_Ara02,Juv,M,125.7,99.4,89.6,53.8,53.3,50.7,40.6,31.8,2.57,258.56,750.67,0.28,0.8,18.78,64,2.91,10.31,3.63,10.548,91.779,,
Cleu_Dic08,Juv,M,127,101.7,92.3,48.9,52.5,50.8,42.1,31.4,2.45,234.2,1074.54,0.31,1.32,17.308,60.4,3.16,10.11,2.4,7.796,80.494,,
Cleu_Ara18,Juv,F,128.7,102,90.8,58.6,59,54.5,46,34.1,2.78,257.47,1053.98,0.26,0.96,22.356,82,2.98,11.65,3.09,10.306,90.483,,*PBP not standardized
Cleu_Ara38,Juv,M,140.2,110.4,102.8,67.6,65.1,60.7,51.7,41.9,2.79,518.12,1966.48,0.4,1.44,28.349,117.6,4.74,11.87,3.3,12.958,74.765,,**Recheck**
Cleu_Mat17,Juv,F,151.6,118.3,107.5,62.8,68.5,60.9,49.4,39.4,2.61,500.09,1941.12,0.37,1.35,30.135,116.4,4.27,11.53,3.16,11.897,91.979,,
Cleu_Gal04,Sub-adult,M,165.4,135.3,122.1,75.4,79.5,72.2,58.7,39.8,2.67,633.34,2458.34,0.47,1.71,46.034,195.6,5.41,14.79,3.93,8.794,47.598,,
Cleu_Gal02,Sub-adult,M,183.8,149.1,137.9,82.9,81.8,66.9,59.4,45.6,2.44,845.28,3261.26,0.39,1.46,49.653,215.8,5.77,14.64,3.96,13.528,64.593,,
Cleu_Gal05,Adult,M,210.4,172.9,155.7,102.1,111.3,85.1,73.9,57.8,2.76,950.62,4484.48,0.39,1.43,74.909,435.7,6.68,16.94,4.66,,,,
Cleu_Gal01,Adult,M,215,174.5,159,99.5,107.9,100.6,82.5,60,2.83,952.97,3865.79,0.33,1.14,73.946,433.4,5.96,17.86,5.22,15.526,87.918,,
