SharkID,Age,Sex,TL,FL,PCL
Cleu_Ara10,YoY,M,74.4,59.5,53.9
Cleu_Ara15,YoY,M,77,61.5,55.4
Cleu_Sab08,YoY,F,79.1,62.5,56.6
Cleu_Sab07,YoY,M,83.6,66.4,60.1
Cleu_Dic11,YoY,F,84.7,65.9,58.7
Cleu_Ara05,YoY,M,86,68.4,62
Cleu_Sab11,Juv,M,90.6,72.7,65.5
Cleu_Sab06,Juv,M,92.7,73.8,67.2
Cleu_Mat10,Juv,M,92.8,73.2,65.5
Cleu_Dic19,Juv,M,98.2,80.7,72.3
Cleu_Ara14,Juv,F,99.1,77,70.3
Cleu_Ara03,Juv,M,102.5,81.3,74
Cleu_Ara16,Juv,M,108.7,86.3,78.6
Cleu_Ara01,Juv,M,115.8,90.4,81.1
Cleu_Dic13,Juv,M,124.3,94.1,84.6
Cleu_Ara02,Juv,M,125.7,99.4,89.6
Cleu_Dic08,Juv,M,127,101.7,92.3
Cleu_Ara18,Juv,F,128.7,102,90.8
Cleu_Ara38,Juv,M,140.2,110.4,102.8
Cleu_Mat17,Juv,F,151.6,118.3,107.5
Cleu_Gal04,Sub-adult,M,165.4,135.3,122.1
Cleu_Gal02,Sub-adult,M,183.8,149.1,137.9
Cleu_Gal05,Adult,M,210.4,172.9,155.7
Cleu_Gal01,Adult,M,215,174.5,159
