Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL,Body Mass
POV-O,-4.54,2.655,0.253,,1.018,2.5,5.039,93.953,11.5,7.8,5,76.1,1.71
,-4.523,2.599,0.264,,,,,,,,,,
,-4.534,2.614,0.263,,,,,,,,,,
POV-I,-8.682,2.699,-1.231,,,,,,,,,,
,-8.582,2.693,-1.187,,,,,,,,,,
,-8.638,2.707,-1.197,,,,,,,,,,
QD1-O,-8.081,3.195,0.243,,0.184,0.2,,,,,,,
,-8.101,3.197,0.25,,,,,,,,,,
,-8.124,3.218,0.252,,,,,,,,,,
QD1-I,-9.002,3.101,-1.129,,,,,,,,,,
,-9.026,3.118,-1.122,,,,,,,,,,
,-8.996,3.113,-1.145,,,,,,,,,,
QV-O,-9.079,3.133,-1.127,,0.582,0.9,,,,,,,
,-9.175,3.189,-1.12,,,,,,,,,,
,-9.122,3.162,-1.117,,,,,,,,,,
QV-I,-9.282,2.169,-1.632,,,,,,,,,,
,-9.197,2.136,-1.727,,,,,,,,,,
,-9.244,2.136,-1.697,,,,,,,,,,
POD-O,-6.267,2.192,-0.289,,0.515,1,,,,,,,
,-6.27,2.196,-0.328,,,,,,,,,,
,-6.272,2.176,-0.302,,,,,,,,,,
POD-I,-8.845,2.611,-1.205,,,,,,,,,,
,-8.897,2.604,-1.164,,,,,,,,,,
,-8.882,2.577,-1.19,,,,,,,,,,
QD2-O,-8.508,3.086,-0.017,,0.233,0.3,,,,,,,
,-8.625,3.115,0.023,,,,,,,,,,
,-8.599,3.119,-0.011,,,,,,,,,,
QD2-I,-9.291,2.82,-1.105,,,,,,,,,,
,-9.35,2.83,-1.165,,,,,,,,,,
,-9.373,2.774,-1.139,,,,,,,,,,
QD4-O,-8.492,2.601,-1.293,,0.123,0.1,,,,,,,
,-8.48,2.631,-1.332,,,,,,,,,,
,-8.466,2.6,-1.343,,,,,,,,,,
QD4-I,-8.716,2.404,-1.755,,,,,,,,,,
,-8.722,2.361,-1.76,,,,,,,,,,
,-8.741,2.351,-1.771,,,,,,,,,,
ABP,-5.283,0.064,-1.475,,,,,,,,,,
,-5.264,0.1,-1.647,,,,,,,,,,
,-5.303,-0.009,-1.616,,,,,,,,,,
PBP,-8.218,1.905,-1.313,,,,,,,,,,
,-8.205,1.876,-1.308,,,,,,,,,,
,-8.212,1.876,-1.283,,,,,,,,,,
JJ,-9.138,2.122,-1.072,,,,,,,,,,
,-9.135,2.13,-1.101,,,,,,,,,,
,-9.132,2.152,-1.097,,,,,,,,,,
