Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-6.098,3.371,-0.304,,1.926,7.7,7.142,86.15,15.7,11.8,8.8,110.6
,-6.081,3.343,-0.289,,,,,,,,,
,-6.074,3.292,-0.299,,,,,,,,,
POV-I,-11.932,3.922,-2.74,,,,,,,,,
,-11.99,4.157,-2.681,,,,,,,,,
,-11.972,4.258,-2.666,,,,,,,,,
QD1-O,-10.662,5.089,-0.513,,0.407,0.9,,,,,,
,-10.632,5.084,-0.525,,,,,,,,,
,-10.653,5.092,-0.499,,,,,,,,,
QD1-I,-12.437,4.847,-2.317,,,,,,,,,
,-12.394,4.927,-2.272,,,,,,,,,
,-12.367,4.981,-2.226,,,,,,,,,
QV-O,-12.326,4.678,-2.584,,2.106,4.4,,,,,,
,-12.315,4.634,-2.591,,,,,,,,,
,-12.336,4.569,-2.615,,,,,,,,,
QV-I,-12.622,2.84,-3.46,,,,,,,,,
,-12.612,2.725,-3.521,,,,,,,,,
,-12.569,2.765,-3.537,,,,,,,,,
POD-O,-7.393,2.666,-0.655,,1.038,3.5,,,,,,
,-7.42,2.687,-0.635,,,,,,,,,
,-7.404,2.657,-0.653,,,,,,,,,
POD-I,-11.688,3.891,-1.917,,,,,,,,,
,-11.662,3.939,-1.992,,,,,,,,,
,-11.693,4.014,-1.991,,,,,,,,,
QD2-O,-11.328,5.203,-0.45,,0.517,1,,,,,,
,-11.248,5.191,-0.454,,,,,,,,,
,-11.276,5.182,-0.456,,,,,,,,,
QD2-I,-12.528,4.779,-1.69,,,,,,,,,
,-12.529,4.85,-1.732,,,,,,,,,
,-12.542,4.792,-1.724,,,,,,,,,
QD4-O,-11.955,4.73,-0.693,,0.394,0.3,,,,,,
,-11.964,4.761,-0.712,,,,,,,,,
,-11.987,4.747,-0.702,,,,,,,,,
QD4-I,-12.396,3.976,-1.133,,,,,,,,,
,-12.401,3.912,-1.066,,,,,,,,,
,-12.422,3.946,-1.087,,,,,,,,,
ABP,-7.052,-0.481,-2.238,,,,,,,,,
,-7.009,-0.537,-2.072,,,,,,,,,
,-7.074,-0.519,-2.217,,,,,,,,,
PBP,-10.9,2.992,-1.367,,,,,,,,,
,-10.82,2.99,-1.328,,,,,,,,,
,-10.833,2.967,-1.329,,,,,,,,,
JJ,-12.256,3.643,-0.534,,,,,,,,,
,-12.199,3.586,-0.586,,,,,,,,,
,-12.177,3.558,-0.561,,,,,,,,,
