Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-5.863,3.383,0.156,,1.443,5.1,5.767,78.103,16.9,11.7,,99.5
,-5.821,3.284,0.186,,,,,,,,,
,-5.846,3.308,0.151,,,,,,,,,
POV-I,-11.352,3.611,-1.531,,,,,,,,,
,-11.38,3.58,-1.505,,,,,,,,,
,-11.388,3.579,-1.518,,,,,,,,,
QD1-O,-10.517,4.591,0.35,,0.375,0.7,,,,,,
,-10.522,4.593,0.396,,,,,,,,,
,-10.5,4.577,0.421,,,,,,,,,
QD1-I,-11.809,4.2,-1.097,,,,,,,,,
,-11.834,4.189,-1.161,,,,,,,,,
,-11.82,4.174,-1.131,,,,,,,,,
QV-O,-12.025,4.113,-1.339,,1.408,3.3,,,,,,
,-11.96,4.095,-1.319,,,,,,,,,
,-11.961,4.073,-1.333,,,,,,,,,
QV-I,-12.155,2.303,-2.081,,,,,,,,,
,-12.059,2.302,-2.11,,,,,,,,,
,-12.058,2.17,-2.075,,,,,,,,,
POD-O,-7.882,2.594,-0.881,,1.219,3,,,,,,
,-7.934,2.711,-0.894,,,,,,,,,
,-7.922,2.687,-0.904,,,,,,,,,
POD-I,-11.461,3.076,-2.523,,,,,,,,,
,-11.39,3.167,-2.591,,,,,,,,,
,-11.455,3.066,-2.448,,,,,,,,,
QD2-O,-11.298,4.314,-1.072,,0.536,0.7,,,,,,
,-11.314,4.34,-1.095,,,,,,,,,
,-11.357,4.323,-1.088,,,,,,,,,
QD2-I,-11.888,3.49,-2.39,,,,,,,,,
,-11.912,3.44,-2.353,,,,,,,,,
,-11.954,3.484,-2.359,,,,,,,,,
QD4-O,-11.446,4.072,0.282,,0.326,0.3,,,,,,
,-11.434,4.048,0.256,,,,,,,,,
,-11.453,4.051,0.253,,,,,,,,,
QD4-I,-11.971,3.71,-0.274,,,,,,,,,
,-11.983,3.739,-0.285,,,,,,,,,
,-11.991,3.737,-0.271,,,,,,,,,
ABP,-6.5,0.017,-1.558,,,,,,,,,
,-6.529,0.107,-1.552,,,,,,,,,
,-6.524,0.098,-1.544,,,,,,,,,
PBP,-10.647,2.75,-0.527,,,,,,,,,
,-10.638,2.745,-0.508,,,,,,,,,
,-10.691,2.786,-0.443,,,,,,,,,
JJ,-11.718,3.454,0.347,,,,,,,,,
,-11.681,3.464,0.273,,,,,,,,,
,-11.652,3.399,0.308,,,,,,,,,
