Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.668,2.957,-0.456,,0.991,2.8,7.83,93.562,16.8,10.2,8.3,83.3
,-4.667,2.92,-0.371,,,,,,,,,
,-4.657,2.934,-0.365,,,,,,,,,
POV-I,-10.271,5.527,-3.443,,,,,,,,,
,-10.304,5.545,-3.287,,,,,,,,,
,-10.277,5.59,-3.324,,,,,,,,,
QD1-O,-10.576,6.093,-2.807,,0.594,0.9,,,,,,
,-10.553,6.104,-2.803,,,,,,,,,
,-10.537,6.106,-2.787,,,,,,,,,
QD1-I,-8.998,5.96,-0.767,,,,,,,,,
,-9.05,5.974,-0.763,,,,,,,,,
,-9.025,5.966,-0.778,,,,,,,,,
QV-O,-10.724,6.224,-2.501,,2.721,4.8,,,,,,
,-10.723,6.241,-2.62,,,,,,,,,
,-10.749,6.243,-2.603,,,,,,,,,
QV-I,-12.16,5.348,-4.122,,,,,,,,,
,-12.165,5.337,-4.1,,,,,,,,,
,-12.206,5.313,-4.18,,,,,,,,,
POD-O,-6.086,3.738,-1.224,,0.251,0.6,,,,,,
,-6.073,3.725,-1.237,,,,,,,,,
,-6.162,3.828,-1.276,,,,,,,,,
POD-I,-9.951,5.333,-2.89,,,,,,,,,
,-9.968,5.406,-2.899,,,,,,,,,
,-9.944,5.34,-2.894,,,,,,,,,
QD2-O,-10.709,5.959,-2.608,,0.46,0.6,,,,,,
,-10.709,5.956,-2.553,,,,,,,,,
,-10.712,6.039,-2.518,,,,,,,,,
QD2-I,-9.516,6.166,-0.749,,,,,,,,,
,-9.495,6.16,-0.76,,,,,,,,,
,-9.566,6.201,-0.798,,,,,,,,,
QD3-O,-9.897,5.336,-2.383,,0.452,0.7,,,,,,
,-9.939,5.33,-2.412,,,,,,,,,
,-9.933,5.316,-2.398,,,,,,,,,
QD3-I,-9.15,5.467,-1.022,,,,,,,,,
,-9.314,5.478,-1.15,,,,,,,,,
,-9.319,5.474,-1.171,,,,,,,,,
QD4-O,-9.476,5.29,-1.497,,0.283,0.2,,,,,,
,-9.498,5.273,-1.475,,,,,,,,,
,-9.504,5.263,-1.479,,,,,,,,,
QD4-I,-9.977,5.233,-2.324,,,,,,,,,
,-10.01,5.22,-2.293,,,,,,,,,
,-10.048,5.183,-2.254,,,,,,,,,
ABP,-5.071,0.536,-2.881,,,,,,,,,
,-5.093,0.559,-2.867,,,,,,,,,
,-5.098,0.52,-2.87,,,,,,,,,
PBP,-8.775,4.379,-1.967,,,,,,,,,
,-8.732,4.359,-1.956,,,,,,,,,
,-8.669,4.406,-2.013,,,,,,,,,
JJ,-10.079,4.922,-1.454,,,,,,,,,
,-10.104,4.905,-1.426,,,,,,,,,
,-10.096,4.915,-1.448,,,,,,,,,
