Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-7.677,5.14,0.386,,2.934,18.2,11.172,65.43,29.5,20.1,18.1,158.2
,-7.639,5.164,0.341,,,,,,,,,
,-7.675,5.158,0.187,,,,,,,,,
POV-I,-18.329,10.349,-3.615,,,,,,,,,
,-18.3,10.26,-3.583,,,,,,,,,
,-18.293,10.406,-3.504,,,,,,,,,
QD1-O,-15.766,11.532,0.871,,1.67,7.3,,,,,,
,-15.616,11.463,0.821,,,,,,,,,
,-15.577,11.446,0.884,,,,,,,,,
QD1-I,-18.893,11.872,-2.604,,,,,,,,,
,-18.889,11.871,-2.59,,,,,,,,,
,-18.83,11.832,-2.554,,,,,,,,,
QV-O,-19.219,12.13,-2.395,,10.626,39.2,,,,,,
,-19.122,12.091,-2.385,,,,,,,,,
,-19.132,12.09,-2.345,,,,,,,,,
QV-I,-22.703,10.269,-4.604,,,,,,,,,
,-22.759,10.487,-4.542,,,,,,,,,
,-22.744,10.296,-4.596,,,,,,,,,
POD-O,-9.949,6.794,-1.463,,1.318,6.2,,,,,,
,-10.003,6.882,-1.454,,,,,,,,,
,-9.924,6.75,-1.392,,,,,,,,,
POD-I,-17.82,10.928,-4.174,,,,,,,,,
,-17.852,10.895,-4.202,,,,,,,,,
,-17.797,10.88,-4.107,,,,,,,,,
QD2-O,-15.808,12.5,0.049,,1.733,3.8,,,,,,
,-15.811,12.485,0.074,,,,,,,,,
,-15.81,12.492,0.056,,,,,,,,,
QD2-I,-18.383,12.244,-2.679,,,,,,,,,
,-18.33,12.177,-2.873,,,,,,,,,
,-18.363,12.245,-2.823,,,,,,,,,
QD3-O,-15.853,12.197,0.027,,1.03,6.1,,,,,,
,-16.02,12.242,-0.072,,,,,,,,,
,-16.055,12.251,-0.098,,,,,,,,,
QD3-I,-18.656,11.363,-2.833,,,,,,,,,
,-18.659,11.472,-2.806,,,,,,,,,
,-18.542,11.394,-2.615,,,,,,,,,
QD4-O,-17.415,11.838,-1.211,,1.464,2.3,,,,,,
,-17.446,11.918,-1.178,,,,,,,,,
,-17.35,11.848,-1.175,,,,,,,,,
QD4-I,-18.951,11.522,-2.685,,,,,,,,,
,-18.927,11.454,-2.711,,,,,,,,,
,-18.947,11.486,-2.717,,,,,,,,,
ABP,-10.759,1.739,-3.645,,,,,,,,,
,-10.823,1.841,-3.681,,,,,,,,,
,-10.804,1.792,-3.607,,,,,,,,,
PBP,-16.667,9.836,-2.396,,,,,,,,,
,-16.665,9.859,-2.414,,,,,,,,,
,-16.637,9.865,-2.455,,,,,,,,,
JJ,-18.915,11.573,-1.04,,,,,,,,,
,-18.862,11.52,-1.078,,,,,,,,,
,-18.82,11.472,-1.051,,,,,,,,,
