Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.055,4.68,-1.227,,1.826,10.9,9.877,90.085,17.9,17.6,10,108.7
,-4.077,4.652,-1.22,,,,,,,,,
,-4.121,4.668,-1.221,,,,,,,,,
POV-I,-11.56,7.546,-3.055,,,,,-10.738,7.183,-4.849,,
,-11.412,7.441,-3.144,,,,,-10.692,7.246,-4.912,,
,-11.546,7.367,-3.123,,,,,-10.853,7.172,-4.844,,
QD1-O,-9.033,8.804,-1.045,,1.209,3.3,,,,,,
,-9.06,8.83,-1.102,,,,,,,,,
,-9.117,8.857,-1.051,,,,,,,,,
QD1-I,-11.108,8.488,-4.093,,,,,,,,,
,-11.075,8.405,-4.168,,,,,,,,,
,-11.058,8.401,-4.216,,,,,,,,,
QV-O,-11.223,8.79,-3.799,,5.656,18,,,,,,
,-11.18,8.701,-3.93,,,,,,,,,
,-11.152,8.622,-3.887,,,,,,,,,
QV-I,-13.546,6.36,-6.05,,,,,,,,,
,-13.653,6.571,-5.954,,,,,,,,,
,-13.609,6.765,-5.965,,,,,,,,,
POD-O,-6.057,5.358,-0.348,,0.924,2.8,,,,,,
,-6.048,5.334,-0.376,,,,,,,,,
,-6.048,5.337,-0.385,,,,,,,,,
POD-I,-11.56,7.546,-3.055,,,,,,,,,
,-11.412,7.441,-3.144,,,,,,,,,
,-11.546,7.367,-3.123,,,,,,,,,
QD2-O,-9.684,8.999,0.929,,1.537,3.5,,,,,,
,-9.771,9.047,0.951,,,,,,,,,
,-9.692,9.015,0.905,,,,,,,,,
QD2-I,-11.792,9.046,-1.355,,,,,,,,,
,-11.751,9.218,-1.302,,,,,,,,,
,-11.777,9.213,-1.338,,,,,,,,,
QD3-O,-10.046,8.998,0.641,,2.454,3.9,,,,,,
,-9.841,8.902,0.703,,,,,,,,,
,-9.923,9.024,0.725,,,,,,,,,
QD3-I,-11.926,8.502,-1.686,,,,,,,,,
,-11.864,8.408,-1.658,,,,,,,,,
,-11.854,8.446,-1.634,,,,,,,,,
QD4-O,-11.221,8.051,-0.551,,0.542,0.9,,,,,,
,-11.308,8.144,-0.513,,,,,,,,,
,-11.336,8.075,-0.537,,,,,,,,,
QD4-I,-11.819,7.952,-1.531,,,,,,,,,
,-11.861,7.965,-1.544,,,,,,,,,
,-11.876,7.965,-1.479,,,,,,,,,
ABP,-6.306,1.342,-3.013,,,,,,,,,
,-6.22,1.189,-2.912,,,,,,,,,
,-6.25,1.149,-2.992,,,,,,,,,
PBP,-9.958,6.444,-1.612,,,,,,,,,
,-9.794,6.429,-1.634,,,,,,,,,
,-9.758,6.413,-1.608,,,,,,,,,
JJ,-11.705,7.636,-0.399,,,,,,,,,
,-11.758,7.668,-0.492,,,,,,,,,
,-11.746,7.647,-0.474,,,,,,,,,
