Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.463,3.108,0.213,,0.685,3.8,6.337,87.195,13.8,12.1,,77
,-3.469,3.15,0.178,,,,,,,,,
,-3.501,3.158,0.242,,,,,,,,,
POV-I,-8.217,4.843,-1.887,,,,,,,,,
,-8.107,4.73,-1.911,,,,,,,,,
,-8.061,4.759,-1.795,,,,,,,,,
QD1-O,-7.049,5.618,0.682,,0.529,1,,,,,,
,-6.877,5.472,0.661,,,,,,,,,
,-6.887,5.491,0.652,,,,,,,,,
QD1-I,-8.616,5.87,-1.323,,,,,,,,,
,-8.551,5.821,-1.41,,,,,,,,,
,-8.588,5.817,-1.445,,,,,,,,,
QV-O,-8.791,6.02,-1.239,,2.632,6.4,,,,,,
,-8.786,5.955,-1.224,,,,,,,,,
,-8.7,5.973,-1.129,,,,,,,,,
QV-I,-10.365,4.92,-2.61,,,,,,,,,
,-10.52,5.113,-2.522,,,,,,,,,
,-10.477,5.098,-2.513,,,,,,,,,
POD-O,-4.457,3.539,-0.029,,0.269,1,,,,,,
,-4.496,3.569,0.022,,,,,,,,,
,-4.468,3.536,-0.027,,,,,,,,,
POD-I,-7.636,5.036,-1.199,,,,,,,,,
,-7.866,5.017,-1.203,,,,,,,,,
,-7.796,5.008,-1.135,,,,,,,,,
QD2-O,-6.784,6.118,0.959,,0.609,1.2,,,,,,
,-6.884,6.158,0.993,,,,,,,,,
,-6.941,6.161,0.955,,,,,,,,,
QD2-I,-8.605,6.048,-0.712,,,,,,,,,
,-8.633,5.951,-0.73,,,,,,,,,
,-8.688,5.968,-0.8,,,,,,,,,
QD3-O,-7.672,5.61,1.223,,0.323,0.8,,,,,,
,-7.649,5.574,1.193,,,,,,,,,
,-7.687,5.544,1.152,,,,,,,,,
QD3-I,-8.927,5.729,-0.309,,,,,,,,,
,-8.891,5.783,-0.159,,,,,,,,,
,-8.954,5.719,-0.177,,,,,,,,,
QD4-O,-8.328,5.218,0.575,,0.227,0.3,,,,,,
,-8.262,5.232,0.59,,,,,,,,,
,-8.294,5.27,0.623,,,,,,,,,
QD4-I,-8.807,5.113,-0.025,,,,,,,,,
,-8.83,5.048,0.013,,,,,,,,,
,-8.83,5.101,-0.03,,,,,,,,,
ABP,-4.325,1.003,-1.502,,,,,,,,,
,-4.319,0.892,-1.405,,,,,,,,,
,-4.328,0.919,-1.439,,,,,,,,,
PBP,-7.48,4.133,-0.35,,,,,,,,,
,-7.505,4.158,-0.346,,,,,,,,,
,-7.492,4.142,-0.333,,,,,,,,,
JJ,-8.664,4.834,0.556,,,,,,,,,
,-8.797,4.853,0.591,,,,,,,,,
,-8.75,4.914,0.481,,,,,,,,,
