Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-4.12,4.652,0.806,,2.635,15.9,11.02,80.741,21.1,19.6,,124.3
,-4.14,4.623,0.842,,,,,,,,,
,-4.163,4.573,0.928,,,,,,,,,
POV-I,-11.532,8.864,-2.514,,,,,,,,,
,-11.507,8.829,-2.583,,,,,,,,,
,-11.488,8.799,-2.557,,,,,,,,,
QD1-O,-9.149,10.021,1.624,,1.814,5.6,,,,,,
,-9.046,9.974,1.565,,,,,,,,,
,-8.989,9.922,1.557,,,,,,,,,
QD1-I,-11.611,10.457,-1.445,,,,,,,,,
,-11.559,10.418,-1.523,,,,,,,,,
,-11.551,10.514,-1.527,,,,,,,,,
QV-O,-11.967,10.709,-1.345,,6.097,27.9,,,,,,
,-11.904,10.774,-1.368,,,,,,,,,
,-11.831,10.786,-1.405,,,,,,,,,
QV-I,-14.793,8.073,-3.421,,,,,,,,,
,-14.766,8.093,-3.451,,,,,,,,,
,-14.794,8.052,-3.428,,,,,,,,,
POD-O,-5.703,5.657,0.882,,1.302,4.8,,,,,,
,-5.789,5.723,0.875,,,,,,,,,
,-5.684,5.634,0.851,,,,,,,,,
POD-I,-11.121,9.351,-1.579,,,,,,,,,
,-11.066,9.529,-1.618,,,,,,,,,
,-11.111,9.491,-1.621,,,,,,,,,
QD2-O,-9.425,10.055,2.668,,1.561,3.9,,,,,,
,-9.493,10.118,2.632,,,,,,,,,
,-9.433,10.07,2.645,,,,,,,,,
QD2-I,-11.867,10.9,-0.106,,,,,,,,,
,-11.85,10.799,-0.072,,,,,,,,,
,-11.841,10.794,-0.063,,,,,,,,,
QD3-O,-10.393,10.266,1.358,,1.134,3.4,,,,,,
,-10.345,10.248,1.373,,,,,,,,,
,-10.307,10.232,1.39,,,,,,,,,
QD3-I,-12.375,10.127,-0.801,,,,,,,,,
,-12.358,10.072,-0.895,,,,,,,,,
,-12.363,10.112,-0.93,,,,,,,,,
QD4-O,-11.281,9.659,2.514,,0.906,1.5,,,,,,
,-11.317,9.655,2.533,,,,,,,,,
,-11.295,9.632,2.51,,,,,,,,,
QD4-I,-12.318,9.312,1.54,,,,,,,,,
,-12.335,9.376,1.684,,,,,,,,,
,-12.334,9.324,1.65,,,,,,,,,
ABP,-6.826,1.354,-2.344,,,,,,,,,
,-6.787,1.364,-2.367,,,,,,,,,
,-6.817,1.404,-2.44,,,,,,,,,
PBP,-10.697,7.857,-0.239,,,,,,,,,
,-10.686,7.84,-0.23,,,,,,,,,
,-10.63,7.816,-0.294,,,,,,,,,
JJ,-12.309,9.168,1.189,,,,,,,,,
,-12.293,9.133,1.19,,,,,,,,,
,-12.302,9.138,1.209,,,,,,,,,
