Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-8.998,8.339,-0.687,,12.556,110.5,15.526,87.918,38.4,35.3,22.9,215
,-8.845,8.271,-0.977,,,,,,,,,
,-8.875,8.25,-0.911,,,,,,,,,
POV-I,-22.44,10.786,-11.038,,,,,,,,,
,-22.338,10.912,-11.015,,,,,,,,,
,-22.314,10.835,-11.05,,,,,,,,,
QD1-O,-19.431,13.994,-2.723,,6.651,34.5,,,,,,
,-19.462,14.015,-2.748,,,,,,,,,
,-19.478,14.032,-2.708,,,,,,,,,
QD1-I,-23.241,13.093,-9.609,,,,,,,,,
,-23.259,13.116,-9.526,,,,,,,,,
,-23.257,13.236,-9.436,,,,,,,,,
QV-O,-23.922,12.824,-10.439,,35.584,193,,,,,,
,-24.053,13.644,-9.174,,,,,,,,,
,-24.111,13.716,-9.171,,,,,,,,,
QV-I,-27.935,8.191,-13.044,,,,,,,,,
,-27.876,8.292,-13.015,,,,,,,,,
,-27.911,8.036,-13.06,,,,,,,,,
POD-O,-12.528,8.774,-3.806,,3.504,24.8,,,,,,
,-12.524,8.621,-3.627,,,,,,,,,
,-12.386,8.555,-3.621,,,,,,,,,
POD-I,-21.428,10.033,-11.682,,,,,,,,,
,-21.454,9.882,-11.78,,,,,,,,,
,-21.432,10.011,-11.76,,,,,,,,,
QD2-O,-19.91,14.115,-3.505,,6.766,28.9,,,,,,
,-19.697,14.054,-3.464,,,,,,,,,
,-19.562,14,-3.476,,,,,,,,,
QD2-I,-22.9,12.534,-10.113,,,,,,,,,
,-22.955,12.604,-10.205,,,,,,,,,
,-22.997,12.432,-10.112,,,,,,,,,
QD3-O,-20.447,14.066,-5.303,,5.996,31.3,,,,,,
,-20.627,14.035,-5.43,,,,,,,,,
,-20.692,14.081,-5.43,,,,,,,,,
QD3-I,-22.745,11.644,-10.961,,,,,,,,,
,-22.594,11.314,-11.14,,,,,,,,,
,-22.694,11.465,-10.961,,,,,,,,,
QD4-O,-21.71,12.447,-7.373,,2.889,10.4,,,,,,
,-21.636,12.441,-7.316,,,,,,,,,
,-21.631,12.41,-7.332,,,,,,,,,
QD4-I,-23.058,11.005,-9.567,,,,,,,,,
,-22.979,10.78,-9.687,,,,,,,,,
,-22.888,10.484,-9.854,,,,,,,,,
ABP,-9.805,-1.459,-8.936,,,,,,,,,
,-9.869,-1.446,-8.808,,,,,,,,,
,-9.873,-1.479,-8.909,,,,,,,,,
PBP,-18.914,8.472,-9.43,,,,,,,,,
,-18.804,8.445,-9.591,,,,,,,,,
,-18.644,8.347,-9.554,,,,,,,,,
JJ,-22.71,10.541,-7.045,,,,,,,,,
,-22.762,10.58,-7.13,,,,,,,,,
,-23.064,10.849,-7.196,,,,,,,,,
