Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.711,3.774,0.617,,1.223,6.7,6.478,86.224,15.5,15.6,,92.8
,-3.713,3.758,0.62,,,,,,,,,
,-3.71,3.721,0.612,,,,,,,,,
POV-I,-9.432,5.68,-1.576,,,,,,,,,
,-9.433,5.723,-1.549,,,,,,,,,
,-9.448,5.712,-1.572,,,,,,,,,
QD1-O,-7.818,6.73,1.709,,1.107,2.3,,,,,,
,-7.834,6.717,1.723,,,,,,,,,
,-7.826,6.732,1.688,,,,,,,,,
QD1-I,-9.717,6.791,-0.807,,,,,,,,,
,-9.687,6.723,-0.812,,,,,,,,,
,-9.7,6.731,-0.862,,,,,,,,,
QV-O,-9.915,6.949,-0.705,,3.454,10.1,,,,,,
,-9.913,6.977,-0.714,,,,,,,,,
,-9.906,6.948,-0.659,,,,,,,,,
QV-I,-11.897,5.384,-1.709,,,,,,,,,
,-11.91,5.356,-1.694,,,,,,,,,
,-11.993,5.342,-1.791,,,,,,,,,
POD-O,-5.192,4.266,0.281,,0.492,1.2,,,,,,
,-5.255,4.336,0.245,,,,,,,,,
,-5.205,4.231,0.271,,,,,,,,,
POD-I,-9.578,5.78,-1.548,,,,,,,,,
,-9.563,5.763,-1.591,,,,,,,,,
,-9.525,5.783,-1.486,,,,,,,,,
QD2-O,-7.96,6.972,1.343,,1.057,2.1,,,,,,
,-7.891,6.925,1.439,,,,,,,,,
,-7.978,6.981,1.368,,,,,,,,,
QD2-I,-9.839,6.774,-0.596,,,,,,,,,
,-9.853,6.857,-0.669,,,,,,,,,
,-9.859,6.881,-0.567,,,,,,,,,
QD3-O,-8.04,7.269,0.983,,0.924,2,,,,,,
,-8.05,7.299,1.002,,,,,,,,,
,-8.014,7.291,0.997,,,,,,,,,
QD3-I,-9.723,6.915,-0.846,,,,,,,,,
,-9.692,6.912,-0.836,,,,,,,,,
,-9.738,6.906,-0.886,,,,,,,,,
QD4-O,-8.936,6.72,0.175,,0.455,0.4,,,,,,
,-8.973,6.804,0.201,,,,,,,,,
,-8.962,6.823,0.211,,,,,,,,,
QD4-I,-9.652,6.531,-0.485,,,,,,,,,
,-9.646,6.541,-0.421,,,,,,,,,
,-9.659,6.531,-0.525,,,,,,,,,
ABP,-5.277,0.756,-1.705,,,,,,,,,
,-5.307,0.782,-1.749,,,,,,,,,
,-5.335,0.732,-1.763,,,,,,,,,
PBP,-8.247,5.286,-0.895,,,,,,,,,
,-8.294,5.202,-0.847,,,,,,,,,
,-8.285,5.201,-0.827,,,,,,,,,
JJ,-9.518,6.238,0.263,,,,,,,,,
,-9.486,6.175,0.203,,,,,,,,,
,-9.494,6.171,0.266,,,,,,,,,
