Muscle,X,Y,Z,,A-CSA,Mass,Max Gape,Gape Angle,PBL,HW,HH,TL
POV-O,-3.254,4.082,-0.003,,0.994,5,8.201,89.196,14.9,13.6,,92.7
,-3.254,4.082,-0.003,,,,,,,,,
,-3.267,4.1,0.016,,,,,,,,,
POV-I,-9.235,7.163,-2.017,,,,,,,,,
,-9.304,7.122,-1.999,,,,,,,,,
,-9.309,7.144,-2.003,,,,,,,,,
QD1-O,-7.152,7.923,0.933,,0.691,1.7,,,,,,
,-7.172,7.931,0.934,,,,,,,,,
,-7.261,8.038,1.013,,,,,,,,,
QD1-I,-9.377,7.993,-1.245,,,,,,,,,
,-9.363,8.011,-1.219,,,,,,,,,
,-9.376,8.022,-1.258,,,,,,,,,
QV-O,-9.611,8.148,-1.242,,4.669,9.1,,,,,,
,-9.609,8.123,-1.268,,,,,,,,,
,-9.575,8.104,-1.279,,,,,,,,,
QV-I,-11.569,6.336,-2.352,,,,,,,,,
,-11.6,6.356,-2.277,,,,,,,,,
,-11.662,6.405,-2.336,,,,,,,,,
POD-O,-4.668,4.732,0.397,,0.464,1.4,,,,,,
,-4.669,4.603,0.601,,,,,,,,,
,-4.662,4.599,0.635,,,,,,,,,
POD-I,-9.38,6.994,-1.144,,,,,,,,,
,-9.459,7.043,-1.127,,,,,,,,,
,-9.432,7.063,-1.035,,,,,,,,,
QD2-O,-7.532,7.653,2.049,,0.493,1.2,,,,,,
,-7.52,7.65,2.116,,,,,,,,,
,-7.517,7.645,2.112,,,,,,,,,
QD2-I,-9.297,7.742,0.139,,,,,,,,,
,-9.218,7.988,0.157,,,,,,,,,
,-9.256,7.838,0.182,,,,,,,,,
QD3-O,-7.266,8.396,2.013,,0.746,1.4,,,,,,
,-7.312,8.331,1.997,,,,,,,,,
,-7.371,8.428,1.941,,,,,,,,,
QD3-I,-8.898,8.332,0.602,,,,,,,,,
,-8.888,8.34,0.565,,,,,,,,,
,-8.907,8.192,0.588,,,,,,,,,
QD4-O,-8.352,8.16,1.789,,0.367,0.3,,,,,,
,-8.275,8.133,1.741,,,,,,,,,
,-8.311,8.24,1.791,,,,,,,,,
QD4-I,-9.014,8.237,1.098,,,,,,,,,
,-9.04,8.203,1.063,,,,,,,,,
,-9.028,8.228,1.119,,,,,,,,,
ABP,-4.954,1.22,-2.403,,,,,,,,,
,-4.946,1.121,-2.354,,,,,,,,,
,-4.945,1.24,-2.407,,,,,,,,,
PBP,-8.192,5.98,-1.44,,,,,,,,,
,-8.185,5.986,-1.405,,,,,,,,,
,-8.184,5.995,-1.436,,,,,,,,,
JJ,-9.239,6.805,-0.744,,,,,,,,,
,-9.246,6.66,-0.602,,,,,,,,,
,-9.242,6.715,-0.664,,,,,,,,,
