ID,Date,Sex,TL,FL,PCL
Cleu_Mat01,9/17/13,M,74,58.5,52.7
Cleu_Mat02,9/17/13,M,87.1,70.1,62.7
Cleu_San01,9/18/13,M,106.2,84.8,76.5
Cleu_San02,9/18/13,M,91.8,72.6,65.3
Cleu_San03,9/18/13,F,86.2,69.7,62
Cleu_San04,9/18/13,M,87.3,70,62
Cleu_San05,9/18/13,M,90.7,72.6,55
Cleu_San06,9/18/13,F,93.7,77.2,66.8
Cleu_San07,9/18/13,F,91.6,73.9,65.8
Cleu_Ara11,9/19/13,F,79.6,63.1,56.6
Cleu_Ara12,9/23/13,F,90.4,73.1,65.6
Cleu_Ara13,9/23/13,F,94.9,76,68.5
Cleu_Ara14,9/23/13,F,87.6,69.4,62.8
Cleu_Ara15,9/23/13,F,92,73.6,65.7
Cleu_Mat03,9/25/13,F,80.4,63.8,57.1
Cleu_Mat04,9/25/13,M,86.4,69.6,62.7
Cleu_Ara16,10/1/13,F,81.1,65.1,57.8
Cleu_Ara17,10/1/13,M,86.8,70.2,62.6
Cleu_Sab01,10/8/13,M,93.8,73,66
Cleu_San08,10/9/13,M,109.1,87.5,78.8
Cleu_Sab03,10/14/13,F,80,62.2,56.4
Cleu_Sab02,10/15/13,F,96.4,74,69
Cleu_Sab04,10/15/13,M,90.4,71.8,64.2
Cleu_Sab05,10/22/13,M,86.4,68.2,61
Cleu-San09,10/30/13,F,93.9,75.1,67.6
Cleu_Ara01,4/23/14,M,115.8,90.4,81.1
BH1,4/25/14,F,77.4,62.6,56.7
BH1,4/26/14,F,67.2,54.7,52.2
Cleu_Sab06,4/29/14,M,92.7,73.8,67.2
Cleu_Sab14,4/29/14,M,96.6,75.5,69.1
BH1,5/2/14,F,103.2,81.4,75.3
Cleu_Ara05,5/12/14,M,86,68.4,62
Cleu_Ara06,5/12/14,M,89.1,71,64.1
Cleu_Ara17,5/13/14,F,97.4,77.3,69.2
Cleu_Ara07,5/15/14,F,93.7,74.8,67
Cleu_Ara08,5/15/14,F,91.2,73.4,65.8
