SharkID,Species,Sex,TL,FL,PCL,Age,Sample.Yr,d15N,d13C,wt.per.N,wt.per.C,C.N
Cleu_Mat10,Cleu,M,92.8,73.2,65.5,Juv,2015,16.58,-17.18,13.74,44.94,3.270742358
Cleu_Ara38,Cleu,M,140.2,110.4,102.8,Juv,2014,15.6,-13.96,14.42,46.13,3.199029126
Cleu_Dic08,Cleu,M,127,101.7,92.3,Juv,2014,21.29,-17.96,13.51,44.44,3.289415248
Cleu_Ara10,Cleu,M,74.4,59.5,53.9,YoY,2014,14.33,-14.16,14.33,47.1,3.286810886
Cleu_Ara03,Cleu,M,102.5,81.3,74,Juv,2014,16.71,-16.76,14.12,47.69,3.377478754
Cleu_Sab11,Cleu,M,90.6,72.7,65.5,Juv,2014,15.45,-16.74,14.31,47.24,3.30118798
Cleu_Ara05,Cleu,M,86,68.4,62,YoY,2014,17.11,-16.34,14.16,46.26,3.266949153
Cleu_Ara01,Cleu,M,115.8,90.4,81.1,Juv,2014,18.03,-16.77,14.54,48.16,3.312242091
Cleu_Sab08,Cleu,F,79.1,62.5,56.6,YoY,2014,17.27,-16.9,14.27,47.42,3.323055361
Cleu_Sab07,Cleu,M,83.6,66.4,60.1,YoY,2014,14.69,-16.63,14.55,46.81,3.217182131
Cleu_Sab06,Cleu,M,92.7,73.8,67.2,Juv,2014,15.25,-17.07,14.11,46.89,3.323175053
Cleu_Ara15,Cleu,M,77,61.5,55.4,YoY,2014,14.67,-15.04,14.33,44.74,3.122121424
Cleu_Ara16,Cleu,M,108.7,86.3,78.6,Juv,2014,14.45,-15.94,14.65,46.35,3.163822526
Cleu_Dic01,Cleu,M,92,72,66.2,Juv,2013,17.96,-16.57,14.67,46.99,3.203135651
Cleu_Ara02,Cleu,M,125.7,99.4,89.6,Juv,2014,15.93,-17.42,14.55,47.07,3.235051546
Cleu_Gal03,Cleu,M,196.3,156.5,141.3,Sub-adult,2016,16.45,-16.36,15.84,48.12,3.037878788
Cleu_Dic65,Cleu,F,87.3,68.6,61.4,YoY,2016,15.68,-18.25,14.98,47.87,3.195594126
Cleu_Dic64,Cleu,M,69.9,54.9,49.8,YoY,2016,14.58,-13.99,14.97,47.25,3.156312625
Cleu_Dic62,Cleu,M,102.4,80,72.8,Juv,2016,19.36,-18.44,14.75,45.97,3.116610169
