"Species","SharkID","d15N","d13C","wt.per.N","wt.per.C","C.N"
"BT","BT1 5-23-15",16.77,-17.2,14.91,46.44,3.11468812877264
"BH","BH4 10-18-14",16.33,-17.37,14.44,47.34,3.27839335180055
"BH","BH5 10-18-14",16.45,-17.12,14.54,45.9,3.15680880330124
"BH","BH1 4-25-14",18.47,-17.75,14.68,47.34,3.22479564032698
"BH","BH1 4-27-15",16.26,-17.97,14.84,48.15,3.24460916442049
"BT","BT1 8-14-15",18.1,-16.85,5.52,16.84,3.05072463768116
"BH","BH1 5-2-14",16.39,-16.73,14.8,47.48,3.20810810810811
"Cleu","Cleu_Mat10",16.58,-17.18,13.74,44.94,3.2707423580786
"BT","BT2 5-2-15",16.86,-16.86,13.34,42.79,3.20764617691154
"BH","BH1 4-26-14",15.58,-17.39,14.77,47.58,3.22139471902505
"BT","BT1 8-12-15",16.44,-16.96,16.48,51.7,3.1371359223301
"BH","BH1 6-20-15",15.99,-17.57,13.86,45.16,3.25829725829726
"Cleu","Cleu_Ara38",15.6,-13.96,14.42,46.13,3.19902912621359
"BH","BH1 4-11-15",16.02,-17.22,4.42,14.37,3.25113122171946
"BH","BH2 8-9-14",15.08,-16.11,14.59,47.14,3.23098012337217
"BH","BH3 10-18-14",15.69,-16.78,14.9,47.46,3.18523489932886
"BH","BH2 10-10-15",17.07,-17.26,14.75,47.55,3.22372881355932
"BT","BT1 5-2-15",17.42,-16.98,14.39,46.27,3.21542738012509
"BT","BT1 8-14-14",16.55,-17.12,14,45.85,3.275
"Cleu","Cleu_Dic08",21.29,-17.96,13.51,44.44,3.28941524796447
"Cleu","Cleu_Ara10",14.33,-14.16,14.33,47.1,3.28681088625262
"BH","BH1 9-25-15",16.32,-16.86,14.49,46.58,3.21463077984817
"BH","BH4 10-3-15",18.08,-19,14.38,47.9,3.33101529902643
"BT","BT2 10-3-15",16.82,-18.09,11.91,39.05,3.27875734676742
"Cleu","Cleu_Ara03",16.71,-16.76,14.12,47.69,3.37747875354108
"BT","BT1 6-19-15",16.26,-17.21,14.78,47.45,3.21041948579161
