Sample,d15N,d13C,wt.per.N,wt.per.C
BT1 5-23-15,16.77,-17.2,14.91,46.44
BH4 10-18-14,16.33,-17.37,14.44,47.34
BH5 10-18-14,16.45,-17.12,14.54,45.9
BH1 4-25-14,18.47,-17.75,14.68,47.34
BH1 4-27-15,16.26,-17.97,14.84,48.15
BT1 8-14-15,18.1,-16.85,5.52,16.84
BH1 5-2-14,16.39,-16.73,14.8,47.48
Cleu_Mat10,16.58,-17.18,13.74,44.94
BT2 5-2-15,16.86,-16.86,13.34,42.79
BH1 4-26-14,15.58,-17.39,14.77,47.58
BT1 8-12-15,16.44,-16.96,16.48,51.7
BH1 6-20-15,15.99,-17.57,13.86,45.16
Cleu_Ara38,15.6,-13.96,14.42,46.13
BH1 4-11-15,16.02,-17.22,4.42,14.37
BH2 8-9-14,15.08,-16.11,14.59,47.14
BH3 10-18-14,15.69,-16.78,14.9,47.46
BH2 10-10-15,17.07,-17.26,14.75,47.55
BT1 5-2-15,17.42,-16.98,14.39,46.27
BT1 8-14-14,16.55,-17.12,14,45.85
Cleu_Dic08,21.29,-17.96,13.51,44.44
Cleu_Ara10,14.33,-14.16,14.33,47.1
BH1 9-25-15,16.32,-16.86,14.49,46.58
BH4 10-3-15,18.08,-19,14.38,47.9
BT2 10-3-15,16.82,-18.09,11.91,39.05
Cleu_Ara03,16.71,-16.76,14.12,47.69
BT1 6-19-15,16.26,-17.21,14.78,47.45
BH1 7-11-14,16.38,-17.24,10.31,33.45
BH1 8-8-14,17.65,-17.03,14.48,46.53
Cleu_Sab11,15.45,-16.74,14.31,47.24
BH2 10-17-15,18.68,-20.09,10.13,32.65
BH2 8-9-14,16.57,-16.78,14.31,46.97
Cleu_Ara05,17.11,-16.34,14.16,46.26
BT1 7-30-14,17.1,-16.81,14.77,47.42
BT1 7-11-15,16.53,-16.08,14.81,46.65
Cleu_Ara01,18.03,-16.77,14.54,48.16
Cleu_Sab08,17.27,-16.9,14.27,47.42
Cleu_Sab07,14.69,-16.63,14.55,46.81
BH1 9-6-14,15.51,-17.9,14.7,46.24
BH5 9-6-14,16.16,-16.87,14.82,46.8
BH1 7-12-14,17.04,-17.57,14.53,46.54
Cleu_Sab06,15.25,-17.07,14.11,46.89
BH2 7-12-14,16.12,-16.84,14.34,46.02
